time,temperature,humidity
00:00:11,25.20,42.40
00:00:18,25.20,42.40
00:00:28,25.20,42.40
00:00:39,25.20,42.50
00:00:51,25.20,42.40
00:00:59,25.20,42.50
00:01:09,25.20,42.40
00:01:18,25.20,42.50
00:01:28,25.20,42.40
00:01:39,25.20,42.40
00:01:52,25.20,42.50
00:01:58,25.20,42.40
00:02:08,25.20,42.50
00:02:21,25.20,42.50
00:02:28,25.20,42.50
00:02:39,25.20,42.40
00:02:49,25.20,42.40
00:03:01,25.20,42.50
00:03:09,25.20,42.40
00:03:18,25.20,42.40
00:03:28,25.20,42.50
00:03:39,25.20,42.40
00:03:49,25.20,42.50
00:03:59,25.20,42.50
00:04:08,25.10,42.50
00:04:19,25.20,42.50
00:04:29,25.20,42.50
00:04:38,25.20,42.50
00:04:48,25.20,42.50
00:04:58,25.10,42.60
00:05:08,25.20,42.50
00:05:22,25.10,42.50
00:05:28,25.10,42.50
00:05:38,25.20,42.40
00:05:49,25.20,42.50
00:05:59,25.20,42.50
00:06:12,25.20,42.50
00:06:19,25.20,42.50
00:06:32,25.20,42.50
00:06:42,25.10,42.40
00:06:49,25.10,42.50
00:07:02,25.20,42.50
00:07:08,25.10,42.50
00:07:19,25.10,42.50
00:07:32,25.10,42.40
00:07:38,25.10,42.50
00:07:49,25.10,42.50
00:07:58,25.10,42.50
00:08:08,25.10,42.50
00:08:19,25.10,42.50
00:08:29,25.10,42.50
00:08:38,25.10,42.50
00:08:48,25.10,42.50
00:08:59,25.10,42.50
00:09:09,25.10,42.50
00:09:19,25.10,42.50
00:09:32,25.10,42.50
00:09:39,25.10,42.50
00:09:49,25.10,42.50
00:09:58,25.10,42.50
00:10:09,25.10,42.50
00:10:18,25.10,42.60
00:10:28,25.10,42.50
00:10:38,25.10,42.50
00:10:48,25.10,42.30
00:10:59,25.10,42.30
00:11:08,25.10,42.20
00:11:21,25.20,42.10
00:11:31,25.20,42.20
00:11:38,25.10,42.10
00:11:51,25.20,42.00
00:11:59,25.20,42.00
00:12:11,25.30,41.80
00:12:18,25.30,41.80
00:12:30,25.30,41.70
00:12:39,25.30,41.70
00:12:48,25.30,41.60
00:13:02,25.40,41.60
00:13:09,25.40,41.50
00:13:19,25.40,41.50
00:13:29,25.40,41.50
00:13:38,25.40,41.40
00:13:52,25.50,41.20
00:14:01,25.50,41.30
00:14:08,25.50,41.20
00:14:19,25.60,41.20
00:14:28,25.60,41.10
00:14:38,25.60,41.00
00:14:48,25.60,40.80
00:15:02,25.70,40.70
00:15:09,25.70,40.70
00:15:19,25.70,40.40
00:15:28,25.70,40.40
00:15:39,25.80,40.30
00:15:49,25.70,40.20
00:15:58,25.80,40.10
00:16:09,25.80,40.10
00:16:22,25.80,40.00
00:16:29,25.80,39.90
00:16:38,25.90,39.90
00:16:48,25.90,39.80
00:16:58,25.90,39.60
00:17:09,25.90,39.60
00:17:18,26.00,39.60
00:17:29,26.00,39.50
00:17:39,26.00,39.50
00:17:51,26.00,39.30
