time,temperature,humidity
00:00:09,26.2,41.7
00:00:19,26.2,41.7
00:00:29,26.2,41.6
00:00:39,26.2,41.6
00:00:50,26.2,41.5
00:00:59,26.2,41.5
00:01:09,26.2,41.5
00:01:20,26.2,41.5
00:01:29,26.2,41.4
00:01:39,26.2,41.5
00:01:49,26.2,41.5
00:02:00,26.2,41.4
00:02:09,26.2,41.4
00:02:19,26.2,41.4
00:02:29,26.2,41.3
00:02:39,26.2,41.3
00:02:50,26.2,41.4
00:02:59,26.2,41.4
00:03:09,26.2,41.4
00:03:19,26.2,41.4
00:03:29,26.2,41.3
00:03:39,26.2,41.4
00:03:49,26.2,41.4
00:03:59,26.2,41.4
00:04:09,26.2,41.4
00:04:19,26.2,41.4
00:04:29,26.2,41.4
00:04:39,26.2,41.4
00:04:49,26.1,41.4
00:05:00,26.2,41.4
00:05:09,26.2,41.5
00:05:19,26.1,41.5
00:05:29,26.2,41.5
00:05:39,26.2,41.5
00:05:49,26.2,41.5
00:05:59,26.2,41.5
00:06:10,26.2,41.5
00:06:19,26.2,41.4
00:06:29,26.2,41.4
00:06:39,26.2,41.4
00:06:49,26.1,41.4
00:06:59,26.2,41.4
00:07:10,26.1,41.5
00:07:19,26.1,41.4
00:07:29,26.1,41.4
00:07:40,26.1,41.4
00:07:49,26.1,41.4
00:07:59,26.1,41.4
00:08:09,26.1,41.4
00:08:19,26.1,41.4
00:08:29,26.1,41.3
00:08:39,26.1,41.4
00:08:49,26.1,41.4
00:08:59,26.1,41.4
00:09:09,26.1,41.4
00:09:19,26.1,41.4
00:09:29,26.1,41.4
00:09:39,26.1,41.4
00:09:49,26.1,41.4
00:09:59,26.1,41.4
00:10:09,26.1,41.3
00:10:19,26.1,41.4
00:10:29,26.1,41.3
00:10:39,26.1,41.3
00:10:49,26.1,41.4
00:10:59,26.1,41.3
00:11:09,26.1,41.3
00:11:19,26.1,41.3
00:11:30,26.1,41.3
00:11:39,26.1,41.3
00:11:49,26.1,41.3
00:12:00,26.1,41.3
00:12:09,26.1,41.4
00:12:19,26.1,41.3
00:12:30,26.1,41.3
00:12:39,26.1,41.3
