time,temperature,humidity
00:00:09,29.0,35.0
00:00:18,29.0,34.9
00:00:28,28.9,34.8
00:00:38,29.0,34.9
00:00:48,29.0,34.9
00:00:58,28.9,34.8
00:01:08,28.9,34.9
00:01:18,29.0,34.8
00:01:28,28.9,34.6
00:01:38,29.0,35.1
00:01:48,29.0,34.8
00:01:58,28.9,34.6
00:02:08,28.9,34.8
00:02:18,29.0,34.5
00:02:28,29.0,34.6
00:02:39,28.9,34.7
00:02:48,29.0,34.6
00:02:58,29.0,34.8
00:03:08,28.9,34.6
00:03:18,29.0,34.7
00:03:28,29.0,34.6
00:03:38,29.0,34.5
00:03:48,29.0,34.9
00:03:58,29.0,34.6
00:04:09,28.9,34.7
00:04:18,29.0,34.5
00:04:28,28.9,34.6
00:04:38,29.0,34.5
00:04:48,29.0,34.5
00:04:58,29.0,34.5
00:05:10,29.0,34.7
00:05:18,28.9,34.7
00:05:28,29.0,34.7
00:05:41,29.0,34.7
00:05:48,28.9,34.8
00:06:08,28.9,35.1
00:06:18,28.9,34.6
00:06:28,28.9,34.8
00:06:38,28.9,34.8
00:06:48,28.9,34.9
00:06:58,28.9,34.8
00:07:08,28.9,34.7
00:07:18,28.9,34.8
00:07:28,28.9,34.7
00:07:38,29.0,34.7
